Date, Open, High, Low, Close, Volume
09/07/22, 255.14, 259.82, 254.96, 258.42, 4185152
09/06/22, 254.47, 256.73, 253.38, 254.39, 2645735
09/02/22, 257.41, 258.58, 253.36, 254.51, 1791551
09/01/22, 251.82, 256.53, 251.76, 256.47, 2577843
08/31/22, 254.17, 255.68, 252.20, 252.28, 3119229
08/30/22, 256.00, 256.72, 252.57, 253.49, 2051259
08/29/22, 255.50, 256.71, 254.59, 255.66, 2017475
08/26/22, 262.80, 263.20, 256.39, 256.95, 2357840
08/25/22, 261.99, 262.68, 260.20, 262.56, 1330619
08/24/22, 260.71, 262.00, 259.86, 260.86, 1777334
08/23/22, 262.62, 263.35, 260.53, 260.54, 2211064
08/22/22, 264.50, 265.79, 262.37, 262.95, 1986909
08/19/22, 265.94, 267.75, 265.54, 266.54, 1833797
08/18/22, 266.00, 267.36, 265.42, 266.58, 1591923
08/17/22, 265.96, 267.97, 265.58, 266.82, 1699066
08/16/22, 265.04, 267.13, 264.26, 266.29, 1828116
08/15/22, 262.21, 265.62, 261.25, 265.44, 2342816
08/12/22, 259.55, 262.51, 259.55, 262.18, 1530824
08/11/22, 263.20, 263.27, 258.63, 259.28, 2007282
08/10/22, 262.00, 263.71, 260.50, 261.36, 2967962
08/09/22, 256.90, 260.205, 256.36, 260.06, 2315836
08/08/22, 260.00, 260.91, 255.34, 256.80, 2253706
08/05/22, 259.64, 260.0299, 257.07, 259.23, 1818555
08/04/22, 261.70, 262.18, 258.69, 260.64, 2089596
08/03/22, 261.05, 262.92, 259.755, 262.09, 2305469
08/02/22, 264.62, 265.45, 260.89, 261.05, 2375235
08/01/22, 262.54, 265.46, 262.41, 264.23, 2383975
07/29/22, 263.65, 264.3505, 262.095, 263.37, 2653895
07/28/22, 258.80, 264.00, 257.56, 263.46, 2849053
07/27/22, 255.80, 259.91, 254.69, 258.89, 2718471
07/26/22, 249.56, 259.22, 248.70, 257.09, 5272297
07/25/22, 254.57, 254.80, 248.655, 250.38, 2860421
07/22/22, 253.75, 254.53, 252.45, 253.99, 2226576
07/21/22, 253.99, 254.80, 252.32, 253.47, 2056470
07/20/22, 256.78, 256.91, 253.47, 254.58, 2183656
07/19/22, 253.88, 256.62, 252.97, 256.50, 2181323
07/18/22, 255.24, 255.59, 252.07, 252.42, 2164571
07/15/22, 254.02, 256.39, 253.45, 255.01, 2627237
07/14/22, 249.89, 253.10, 249.62, 252.60, 2371030
07/13/22, 248.96, 254.80, 248.26, 252.67, 2205342
07/12/22, 252.97, 255.62, 250.76, 251.48, 2112805
07/11/22, 252.08, 255.4025, 252.08, 253.28, 1478345
07/08/22, 252.60, 254.62, 252.32, 253.24, 1450519
07/07/22, 253.26, 254.92, 251.18, 252.94, 2396689
07/06/22, 252.47, 252.86, 249.37, 251.46, 1948691
07/05/22, 251.15, 253.00, 249.66, 252.29, 2392617
07/01/22, 246.35, 253.14, 246.00, 252.96, 2531474
06/30/22, 248.25, 248.59, 245.4506, 246.88, 2786218
06/29/22, 246.14, 248.87, 245.105, 247.74, 2997210
06/28/22, 247.06, 249.96, 242.52, 242.83, 2381745
06/27/22, 247.90, 248.77, 246.565, 247.03, 2059304
06/24/22, 245.26, 248.00, 244.49, 247.90, 3104842
06/23/22, 243.70, 245.085, 240.455, 243.58, 1937201
06/22/22, 238.79, 244.55, 238.36, 243.06, 3054788
06/21/22, 236.22, 240.10, 234.14, 239.59, 3263514
06/17/22, 234.22, 235.49, 232.17, 234.38, 7236261
06/16/22, 236.08, 237.3223, 233.82, 235.19, 3271976
06/15/22, 239.86, 241.58, 236.12, 238.90, 3152171
06/14/22, 239.96, 242.90, 238.62, 238.76, 3564777
06/13/22, 232.79, 240.10, 232.68, 238.47, 4697049
06/10/22, 239.18, 239.51, 237.16, 237.38, 1994336
06/09/22, 243.62, 246.00, 242.03, 242.16, 2682889
06/08/22, 247.90, 248.48, 244.89, 245.61, 2101295
06/07/22, 246.00, 249.79, 245.53, 248.94, 2782196
06/06/22, 249.08, 249.525, 247.33, 248.07, 1569322
06/03/22, 248.43, 250.27, 248.17, 248.36, 1838859
06/02/22, 249.60, 250.44, 246.22, 250.38, 2089654
06/01/22, 253.19, 253.4158, 248.19, 249.28, 2264141
05/31/22, 250.00, 254.28, 248.6289, 252.21, 3924700
05/27/22, 249.50, 251.87, 248.78, 251.87, 2063755
05/26/22, 246.00, 249.3269, 245.595, 248.09, 1972341
05/25/22, 242.58, 245.70, 241.59, 244.01, 2641667
05/24/22, 237.50, 245.80, 237.45, 244.52, 5258233
05/23/22, 235.76, 238.89, 233.50, 238.00, 3053463
05/20/22, 231.38, 234.06, 228.585, 233.91, 3208225
05/19/22, 229.50, 232.15, 228.34, 229.00, 3518259
05/18/22, 239.46, 240.08, 230.37, 231.05, 3946143
05/17/22, 246.00, 247.00, 239.46, 241.63, 3205114
05/16/22, 244.46, 245.475, 240.73, 244.04, 2147127
05/13/22, 247.15, 247.18, 242.28, 245.04, 3255435
05/12/22, 245.32, 246.38, 241.12, 244.19, 2860983
05/11/22, 245.27, 246.79, 243.2132, 244.43, 2833269
05/10/22, 248.99, 250.88, 244.93, 245.68, 3070804
05/09/22, 247.00, 249.90, 246.79, 247.49, 2918862
